username,follower_to_following_ratio,stars_per_repository,fork_to_repo_ratio,open_issues_per_repo,code_to_profile_age_ratio,push_to_total_events_ratio,repos_per_year,days_since_last_api_activity,days_since_last_code_push,average_days_between_events,profile_staleness_days,total_community_validation_count,total_starred_by_user,total_organization_connections,aggregate_codebase_footprint_kb,distinct_event_types_count,has_no_repos,is_b2b_affiliated,has_invested_profile,is_actively_hireable,has_external_gists,churned
mojombo,2239.909090909091,215.36363636363637,0.3787878787878788,8.287878787878787,0.009687362395420519,0.0,3.538309114927345,9999.0,687.0,6813.0,17.0,14214.0,164.0,1.0,390780.0,0.0,0,1,0,0,1,1
defunkt,105.62790697674419,348.50467289719626,0.27102803738317754,5.4766355140186915,0.015705269338030237,0.0,5.736349625715544,9999.0,432.0,6813.0,310.0,37290.0,200.0,1.0,292980.0,0.0,0,1,0,0,1,1
pjhyett,280.06666666666666,75.75,0.25,0.75,0.001188177632556067,0.0,0.43398188029110346,9999.0,2845.0,6733.0,68.0,606.0,15.0,0.0,4817.0,0.0,0,0,0,0,1,1
wycats,792.9230769230769,27.498489425981873,0.44410876132930516,1.241691842900302,0.049190072819141034,0.07333333333333333,17.96667409719126,0.0,0.0,22.43,2.0,9102.0,200.0,15.0,3257546.0,9.0,0,1,0,0,1,0
ezmobius,46.69230769230769,71.27272727272727,0.36363636363636365,1.9545454545454546,0.0032699167657550534,0.0,1.1943370986920334,9999.0,891.0,6728.0,23.0,1568.0,94.0,1.0,99685.0,0.0,0,1,0,0,1,1
ivey,64.66666666666667,2.891891891891892,0.16216216216216217,0.24324324324324326,0.0054994054696789535,0.0,2.008657847800238,9999.0,498.0,6728.0,6.0,107.0,61.0,1.0,63067.0,0.0,0,1,0,0,1,1
evanphx,160.0,23.295698924731184,0.543010752688172,0.23118279569892472,0.027645659928656363,0.37755102040816324,10.097577288941737,3.0,25.0,68.65306122448979,0.0,4333.0,147.0,7.0,3883271.0,7.0,0,1,0,0,1,0
vanpelt,24.428571428571427,2.9420289855072466,0.6811594202898551,1.1014492753623188,0.01025564803804994,0.3,3.745875445897741,0.0,39.0,74.75555555555556,19.0,203.0,200.0,0.0,934815.0,8.0,0,0,0,0,1,0
wayneeseguin,39.85,4.747826086956522,0.6521739130434783,0.8608695652173913,0.017092746730083236,0.6041666666666666,6.243125743162902,0.0,233.0,140.16666666666666,4.0,546.0,200.0,4.0,2872680.0,5.0,0,1,0,0,1,1
brynary,20.71794871794872,17.333333333333332,0.7878787878787878,0.29292929292929293,0.029433625687527873,0.39,10.750631782369556,0.0,33.0,22.423333333333332,0.0,3432.0,200.0,5.0,2747867.0,9.0,0,1,1,0,1,0
kevinclark,22.666666666666668,4.8478260869565215,0.5217391304347826,0.5,0.0068381150587185965,0.0,2.4976215251969673,9999.0,45.0,6727.0,17.0,223.0,25.0,1.0,792133.0,0.0,0,1,0,0,1,0
technoweenie,152.61111111111111,42.355932203389834,0.4576271186440678,1.073446327683616,0.026311877508547642,0.0,9.610413259997028,9999.0,869.0,6727.0,72.0,7497.0,200.0,1.0,428161.0,0.0,0,1,0,0,1,1
macournoyer,24.22222222222222,60.891891891891895,0.4864864864864865,0.8648648648648649,0.011002081474873625,0.0,4.018510258697591,11.0,11.0,747.3333333333334,43.0,4506.0,200.0,1.0,321693.0,4.0,0,1,1,0,1,0
takeo,11.454545454545455,1.9090909090909092,0.8636363636363636,0.13636363636363635,0.0032708890871245913,0.0,1.194692239072257,9999.0,735.0,6726.0,7.0,42.0,189.0,0.0,28517.0,0.0,0,0,0,0,1,1
caged,54.95454545454545,18.86470588235294,0.27647058823529413,1.1058823529411765,0.02527505203687184,0.0,9.23171275646744,7.0,142.0,1345.2,19.0,3207.0,200.0,2.0,871426.0,1.0,0,1,1,0,1,0
topfunky,5.768339768339768,59.27835051546392,0.27835051546391754,2.2577319587628866,0.014421647338685697,0.0,5.267506690454951,9999.0,1.0,6726.0,3.0,5750.0,200.0,1.0,3720234.0,0.0,0,1,1,0,1,0
anotherjesse,7.897435897435898,2.1316872427983538,0.49382716049382713,0.4691358024691358,0.03613382899628253,0.86,13.197881040892192,3.0,4.0,134.5,100.0,518.0,200.0,1.0,2957736.0,3.0,0,1,0,0,1,0
roland,44.0,0.0,0.0,0.0,0.00014869888475836432,0.0,0.05431226765799256,9999.0,61.0,6725.0,16.0,0.0,3.0,0.0,279.0,0.0,0,0,0,0,0,0
lukas,36.15,49.12068965517241,0.2413793103448276,0.4827586206896552,0.00862453531598513,0.8627450980392157,3.1501115241635684,1.0,1.0,65.93137254901961,27.0,2849.0,85.0,0.0,1664535.0,3.0,0,0,1,0,1,0
fanvsfan,42.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,6725.0,884.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
tomtt,6.538461538461538,3.033333333333333,0.5,0.2777777777777778,0.013382899628252789,0.0,4.888104089219331,9999.0,172.0,6725.0,117.0,273.0,82.0,0.0,703152.0,0.0,0,0,0,1,1,0
railsjitsu,34.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,6725.0,1291.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
nitay,65.0,0.2222222222222222,0.8888888888888888,0.7777777777777778,0.001338887235941684,0.0,0.4890285629277001,0.0,51.0,3361.0,3.0,2.0,91.0,0.0,226872.0,1.0,0,0,0,0,1,0
kevwil,3.5217391304347827,2.6595744680851063,0.48936170212765956,0.3191489361702128,0.00699196667658435,0.0,2.5538158286224335,9999.0,189.0,6722.0,100.0,125.0,200.0,0.0,401939.0,0.0,0,0,1,0,1,1
